"YEAR_WEEK","NIS5","AGEGROUP","DOSE","CUMUL"
"21W01",23094,"85+","A","12"
"21W01",23096,"35-44","A","<10"
"21W01",23096,"55-64","A","<10"
"21W01",23096,"85+","A","<10"
"21W01",23097,"35-44","A","<10"
"21W01",23097,"45-54","A","<10"
"21W01",23097,"55-64","A","<10"
"21W01",23098,"18-34","A","<10"
"21W01",23098,"45-54","A","<10"
"21W01",23098,"55-64","A","<10"
"21W01",23098,"65-74","A","<10"
"21W01",23098,"85+","A","<10"
"21W01",23099,"18-34","A","<10"
"21W01",23099,"55-64","A","<10"
"21W01",23099,"65-74","A","<10"
"21W01",23099,"75-84","A","<10"
"21W01",23099,"85+","A","<10"
"21W01",23101,"35-44","A","<10"
"21W01",23101,"45-54","A","<10"
"21W01",23101,"55-64","A","<10"
"21W01",23101,"65-74","A","<10"
"21W01",23102,"18-34","A","<10"
"21W01",23102,"55-64","A","<10"
"21W01",23102,"65-74","A","<10"
"21W01",23102,"75-84","A","<10"
"21W01",23102,"85+","A","15"
"21W01",23103,"18-34","A","<10"
"21W01",23103,"45-54","A","<10"
"21W01",23103,"55-64","A","<10"
"21W01",23103,"65-74","A","<10"
"21W01",23103,"75-84","A","13"
"21W01",23103,"85+","A","39"
"21W01",23104,"35-44","A","<10"
"21W01",23104,"55-64","A","<10"
"21W01",23104,"75-84","A","<10"
"21W01",23104,"85+","A","<10"
"21W01",23105,"18-34","A","<10"
"21W01",23105,"35-44","A","<10"
"21W01",23105,"45-54","A","<10"
"21W01",23105,"55-64","A","<10"
"21W01",23105,"65-74","A","<10"
"21W01",23105,"75-84","A","27"
"21W01",23105,"85+","A","62"
"21W01",24001,"18-34","A","<10"
"21W01",24001,"35-44","A","<10"
"21W01",24001,"45-54","A","<10"
"21W01",24001,"55-64","A","<10"
"21W01",24001,"65-74","A","<10"
"21W01",24001,"75-84","A","17"
"21W01",24001,"85+","A","41"
"21W01",24007,"18-34","A","<10"
"21W01",24007,"45-54","A","<10"
"21W01",24007,"55-64","A","<10"
"21W01",24007,"85+","A","<10"
"21W01",24008,"35-44","A","<10"
"21W01",24008,"45-54","A","<10"
"21W01",24008,"55-64","A","<10"
"21W01",24009,"35-44","A","<10"
"21W01",24009,"45-54","A","<10"
"21W01",24009,"55-64","A","<10"
"21W01",24009,"85+","A","<10"
"21W01",24011,"35-44","A","<10"
"21W01",24011,"45-54","A","<10"
"21W01",24011,"55-64","A","<10"
"21W01",24011,"65-74","A","<10"
"21W01",24011,"75-84","A","<10"
"21W01",24011,"85+","A","<10"
"21W01",24014,"18-34","A","<10"
"21W01",24014,"35-44","A","<10"
"21W01",24014,"55-64","A","<10"
"21W01",24014,"65-74","A","<10"
"21W01",24014,"85+","A","<10"
"21W01",24016,"35-44","A","<10"
"21W01",24016,"45-54","A","<10"
"21W01",24016,"55-64","A","<10"
"21W01",24016,"65-74","A","<10"
"21W01",24016,"75-84","A","<10"
"21W01",24016,"85+","A","<10"
"21W01",24020,"35-44","A","<10"
"21W01",24020,"45-54","A","<10"
"21W01",24020,"55-64","A","<10"
