country,lau,hospitalized,population,hospitalized/100k pop.,deaths,cases,datetime
NL,Vijfheerenlanden,12,56816.0,21.1,,,2020-04-02T17:21:00
NL,Houten,12,50146.0,23.9,,,2020-04-02T17:21:00
NL,Súdwest-Fryslân,13,89987.0,14.4,,,2020-04-02T17:21:00
NL,Geldrop-Mierlo,13,39733.0,32.7,,,2020-04-02T17:21:00
NL,De Bilt,13,43124.0,30.1,,,2020-04-02T17:21:00
NL,Maasgouw,13,23960.0,54.3,,,2020-04-02T17:21:00
NL,Bergen op Zoom,13,67489.0,19.3,,,2020-04-02T17:21:00
NL,Rijssen-Holten,13,38178.0,34.1,,,2020-04-02T17:21:00
NL,Druten,13,18918.0,68.7,,,2020-04-02T17:21:00
NL,Rijswijk,13,54432.0,23.9,,,2020-04-02T17:21:00
NL,Enkhuizen,14,18592.0,75.3,,,2020-04-02T17:21:00
NL,Beuningen,14,25891.0,54.1,,,2020-04-02T17:21:00
NL,Sint Anthonis,14,11672.0,119.9,,,2020-04-02T17:21:00
NL,Nijkerk,14,43176.0,32.4,,,2020-04-02T17:21:00
NL,Drimmelen,14,27274.0,51.3,,,2020-04-02T17:21:00
NL,Someren,14,19376.0,72.3,,,2020-04-02T17:21:00
NL,Zundert,14,21821.0,64.2,,,2020-04-02T17:21:00
NL,Terneuzen,14,54438.0,25.7,,,2020-04-02T17:21:00
NL,Haaren,14,14371.0,97.4,,,2020-04-02T17:21:00
NL,Sint-Michielsgestel,15,29203.0,51.4,,,2020-04-02T17:21:00
NL,West Betuwe,15,51198.0,29.3,,,2020-04-02T17:21:00
NL,Waalwijk,15,48620.0,30.9,,,2020-04-02T17:21:00
NL,Zeist,15,64932.0,23.1,,,2020-04-02T17:21:00
NL,Loon op Zand,15,23407.0,64.1,,,2020-04-02T17:21:00
NL,Dinkelland,15,26470.0,56.7,,,2020-04-02T17:21:00
NL,Gouda,15,73443.0,20.4,,,2020-04-02T17:21:00
NL,Eersel,15,19314.0,77.7,,,2020-04-02T17:21:00
NL,Gooise Meren,15,58041.0,25.8,,,2020-04-02T17:21:00
